Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
40	-26.382923	13.577851	14.944198	-62.529446	14.600733	-24.97903	7.6799965	-1.5640013	-37.751637	164000	0.04366234	15.032557	0.0	-5.575266	0.9181561	2.682209e-10	322.07201290130615
41	-25.90358	15.141914	17.705702	-65.95772	14.781482	-24.272463	7.5992894	-1.2892828	-38.00453	168000	0.023163185	15.494187	0.0	-5.1507034	0.9182211	-6.556511e-10	329.9543318748474
42	-25.79349	14.320109	10.683972	-63.23264	14.460145	-24.763344	7.7744813	-1.3815085	-38.546032	172000	0.01242984	14.852	0.0	-5.5711603	0.91829085	3.516674e-09	337.77611899375916
43	-28.090645	14.745261	11.20997	-79.137215	14.669118	-25.36018	7.725171	-0.673036	-39.28321	176000	0.0017714619	15.365193	0.0	-5.793168	0.9183631	-1.4305115e-09	345.6337859630585
44	-26.153889	14.5774	12.875519	-65.18855	14.88806	-24.806131	8.21091	-0.81196177	-39.503567	180000	0.0024007827	13.4980135	0.0	-5.064871	0.9184279	1.3113022e-09	353.3876688480377
45	-27.769724	13.898735	11.479304	-67.22281	14.551095	-24.968224	7.678952	-1.0329472	-40.060345	184000	0.013143029	15.235378	0.0	-5.7728453	0.91848946	2.6524067e-09	361.1109507083893
46	-26.841211	14.196826	23.87248	-59.926395	14.271428	-25.237465	7.6560545	-0.8441976	-40.81897	188000	-0.008612786	12.132617	0.0	-4.4004817	0.91855544	5.543232e-09	369.03635931015015
47	-26.97904	14.029446	25.928854	-58.974407	14.449275	-25.15359	7.2290416	-0.5090418	-40.83082	192000	0.035618287	11.727969	0.0	-3.8306007	0.9186152	4.798174e-09	376.94573163986206
48	-26.141823	13.611929	15.5381565	-60.05456	14.594891	-24.880625	7.2871394	-0.31835702	-40.945934	196000	-0.017677817	10.155359	0.0	-3.6093445	0.9186863	-2.2649764e-09	384.81505370140076
49	-26.466206	15.123197	24.965675	-69.135155	14.30466	-24.888445	8.0590725	0.0848822	-41.3239	200000	-0.008456857	11.723623	0.0	-4.1776257	0.91874063	5.1259996e-09	392.6676592826843
