Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
38	-27.704443	12.58206	15.2836075	-66.6596	12.553459	-25.724092	3.2142866	-4.8422265	-30.045511	156000	8.106232e-09	57.211815	-0.04530021	-23.173431	0.70928955	0.013180485	0.2215	79.0	322.69364047050476
39	-26.976818	12.973462	23.417591	-74.68559	12.409938	-25.210922	4.5645633	-0.014036953	-31.722488	160000	4.768372e-10	48.567642	-0.026915524	-24.91688	0.69547695	0.015234178	0.15275	24.0	330.73615884780884
40	-27.81131	12.71333	8.386406	-75.13167	12.330247	-24.94973	5.824808	5.0953875	-33.591606	164000	-9.536744e-10	34.4979	-0.05072595	-14.8948	0.6899323	0.013310862	0.24125	79.0	339.13870906829834
41	-27.555395	13.792	19.375027	-88.01517	12.657143	-25.064852	6.0976887	-1.175285	-35.03165	168000	3.4570693e-09	41.944927	-0.008311618	-21.087717	0.68071514	0.015071831	0.18875	4.0	347.12317872047424
42	-27.637627	11.290866	7.994699	-85.95062	12.198777	-25.53296	6.2950993	3.3270469	-36.587914	172000	-6.9141386e-09	24.132374	-0.04521274	-10.353868	0.68104035	0.015121201	0.23175	50.0	355.4801666736603
43	-27.319523	11.683897	10.524729	-59.692787	12.327161	-25.397133	5.8714633	2.1792457	-37.03563	176000	-6.198883e-09	18.492764	-0.053179268	-7.814336	0.6787518	0.013205505	0.2555	79.0	363.90765929222107
44	-27.820353	13.03945	5.412782	-81.90832	12.397515	-25.335073	6.605914	2.2224631	-37.698227	180000	-3.8146974e-09	24.408276	-0.052286204	-10.07311	0.6721614	0.015444589	0.25925	79.0	372.2760100364685
45	-27.837944	14.608258	36.9661	-111.67253	12.320988	-25.594194	6.868334	3.5638905	-38.865448	184000	1.9073487e-09	32.321358	-0.046391867	-10.7739105	0.6679362	0.015025245	0.24125	74.0	380.68281078338623
46	-27.005001	13.873065	37.513897	-76.8664	12.658228	-25.137308	7.419444	7.265124	-40.289543	188000	-1.8835069e-08	21.455956	-0.04381241	-9.835987	0.6603896	0.0150896	0.22025	51.0	388.9041893482208
47	-26.739088	13.018424	39.50648	-74.350876	12.406833	-25.115273	7.1642704	3.429053	-40.308628	192000	2.002716e-08	17.734388	-0.04947534	-8.314284	0.6615859	0.015188556	0.24175	65.0	397.2231991291046
48	-27.364119	13.275902	15.624382	-73.403755	12.400621	-24.913172	7.381886	3.699826	-40.969795	196000	-1.4305115e-09	18.163212	-0.04361296	-8.218841	0.6537443	0.015060878	0.209	45.0	405.38469791412354
49	-27.142584	11.788961	18.60465	-62.43677	12.164634	-25.518164	7.118841	7.840114	-41.843357	200000	-2.861023e-09	13.816626	-0.018133637	-7.053075	0.6515303	0.016435968	0.1955	10.0	413.40191626548767
