Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	-24.535042	14.710393	11.920031	-62.454533	15.056603	-24.11766	8.347937	2.9353163	-39.18209	152000	1.8119811e-08	12.177789	-0.022257354	-4.6789823	0.7248279	0.015281261	0.19	17.0	312.292697429657
38	-26.326817	15.261335	44.072613	-65.437965	14.88806	-24.610754	7.9910574	2.876709	-39.56717	156000	1.1324882e-09	14.674435	-0.038356256	-5.5371284	0.72057873	0.015009067	0.2085	61.0	320.5863676071167
39	-25.474236	15.740698	36.918003	-61.644043	15.109848	-23.718409	8.188457	3.1473134	-39.22707	160000	7.1525574e-10	13.06732	-0.04171479	-5.140751	0.7090828	0.013780554	0.22625	79.0	328.89974999427795
40	-24.148743	15.227705	18.837828	-54.67151	15.251908	-23.750738	8.395589	3.5964994	-39.966553	164000	-6.198883e-09	12.516597	-0.043504447	-5.279967	0.7036912	0.0138346655	0.24225	79.0	337.1790804862976
41	-24.903112	15.680717	27.038998	-62.77299	15.279694	-23.604023	8.673796	5.7461176	-40.561054	168000	-1.0251999e-08	12.040579	-0.04510954	-3.856021	0.6853718	0.010863478	0.23925	79.0	345.51226925849915
42	-22.947983	15.7055645	42.41286	-61.89719	15.2091255	-23.465485	8.350629	5.303165	-40.132942	172000	-1.1324882e-08	12.778561	-0.03299532	-4.0309973	0.68469167	0.015156172	0.20925	37.0	353.5863666534424
43	-23.540508	14.6916685	10.904259	-55.215687	15.2213745	-23.22553	8.391959	5.10041	-39.753735	176000	-7.867813e-09	9.05159	-0.04387247	-3.4959164	0.67234254	0.015292439	0.219	73.0	361.90989995002747
44	-24.903439	14.585636	14.772605	-53.258274	15.380769	-23.82316	8.284269	5.851812	-40.205788	180000	-1.1205673e-08	11.535296	-0.048050918	-5.1633782	0.6721781	0.012956067	0.2625	79.0	370.2235658168793
45	-23.38248	15.905314	30.75755	-62.390617	15.416988	-23.240108	8.7109	5.0800858	-41.324913	184000	-3.5762786e-09	11.44189	-0.007274145	-4.3336453	0.65856826	0.015813533	0.1705	4.0	378.1349060535431
46	-23.833508	15.825241	30.03451	-59.7304	15.525291	-23.182781	8.883499	5.9417005	-41.018078	188000	3.695488e-09	12.697058	-0.016206998	-4.6741486	0.6581816	0.015228081	0.183	12.0	386.0610783100128
47	-24.956772	15.830428	30.316336	-58.71567	15.513618	-23.517582	8.840324	6.2633057	-40.80408	192000	-2.4557114e-08	11.205131	-0.017708497	-4.074043	0.6565857	0.0151859	0.16725	13.0	393.94841980934143
48	-23.372265	16.061663	15.215799	-63.67819	15.6705885	-22.83898	9.301476	7.406301	-39.66003	196000	1.2397766e-08	10.630139	-0.03128519	-4.433673	0.6540862	0.015517015	0.21025	27.0	401.98914527893066
49	-23.279217	17.156654	30.292114	-59.255394	15.529182	-22.559301	9.693829	7.4457545	-40.653954	200000	7.629395e-09	10.746667	-0.021063823	-4.218528	0.6483713	0.015367208	0.18425	15.0	409.9618139266968
