Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
33	19690.803	113.83143	19815.412	19505.736	19837.262	0.001953125	19837.26	19837.26	1000.0	1000.0	131999	1633.3699	443.11053	1878.3484	-149.85463	1633.3682	443.1069	1880.4122	-231.73807	6.0020814	3.1164584	44.68336	-8.562247	-1643.6188	5432.002	2501.4707708358765
34	19564.691	203.69518	19833.371	19316.041	19156.65	0.001953125	19156.648	19156.648	1000.0	1000.0	135999	1641.7888	436.20154	1879.9432	-129.87485	1641.7898	436.20102	1882.2489	-200.84593	5.8568735	3.1392007	39.41089	-9.177248	-1651.5259	5316.3984	2584.0352857112885
35	19716.156	110.44424	19797.287	19528.852	18066.23	0.001953125	18066.229	18066.229	1000.0	1000.0	139999	1643.2982	430.48853	1880.0338	-135.72964	1643.2983	430.48825	1876.0042	-399.76334	5.885327	3.1272788	38.50767	-10.301083	-1652.478	5378.55	2667.0065891742706
36	19740.787	45.307117	19770.174	19662.525	19753.516	0.0	19753.516	19753.516	1000.0	1000.0	143999	1645.9717	426.59305	1869.8844	-125.12595	1645.9711	426.5889	1871.4316	-136.14043	5.7076006	3.1025956	34.950504	-9.397043	-1654.9768	4882.778	2749.179975748062
37	19518.543	406.80054	19765.012	18814.082	19781.998	0.0	19781.998	19781.998	1000.0	1000.0	147999	1649.3441	423.77274	1868.6569	-240.06567	1649.3418	423.78055	1864.8367	-195.90297	5.7282724	3.0093312	46.300922	-9.869253	-1658.6517	5741.101	2833.201370239258
38	17544.805	1305.7056	19749.613	16374.721	19752.674	0.0	19752.674	19752.674	1000.0	1000.0	151999	1659.7152	420.36243	1876.5599	-365.28177	1659.7147	420.36487	1874.5052	-848.64087	5.669312	2.9871197	77.57382	-13.490977	-1668.6696	5201.96	2916.556386947632
39	18003.46	1000.20245	19053.291	16824.658	18676.537	0.001953125	18676.54	18676.54	1000.0	1000.0	155999	1668.322	413.99762	1878.217	-258.46417	1668.3181	414.01443	1882.4784	-317.10684	5.9057655	2.954054	39.87655	-11.029519	-1677.003	5391.6206	3000.4036004543304
40	17448.836	798.1897	18299.02	16144.401	5101.434	0.0	5101.434	5101.434	1000.0	1000.0	159999	1670.4464	411.21432	1878.7001	-169.83304	1670.446	411.2212	1879.2682	-134.044	6.11117	3.0369503	42.612873	-9.598885	-1679.1608	5788.515	3083.6675114631653
41	18740.244	888.57214	19798.26	17422.059	19688.496	0.001953125	19688.494	19688.494	1000.0	1000.0	163999	1674.5571	406.46985	1887.1216	-228.48042	1674.556	406.46158	1882.6309	-260.08548	5.613816	2.8633254	48.180313	-9.229469	-1682.3418	5055.044	3166.728720664978
42	19209.777	814.90784	19787.88	17817.598	19715.844	0.0	19715.844	19715.844	1000.0	1000.0	167999	1672.079	403.1958	1884.821	-143.77672	1672.0758	403.20392	1888.5188	-141.1374	5.5733595	2.943299	72.46267	-10.990486	-1679.6113	5659.738	3250.5735762119293
43	19141.434	1083.9813	19829.654	17266.482	19685.293	0.001953125	19685.291	19685.291	1000.0	1000.0	171999	1672.4146	401.10123	1872.2354	-158.96454	1672.4128	401.10248	1870.8265	-168.15929	5.8357067	3.0008743	50.532116	-10.7492285	-1679.894	5293.313	3334.100994348526
44	19387.197	382.4655	19801.287	18819.773	19745.701	0.0	19745.701	19745.701	1000.0	1000.0	175999	1668.926	402.60583	1878.9926	-536.26996	1668.9235	402.61575	1887.8615	-331.1217	5.5094624	2.9767928	37.42702	-10.3921995	-1676.1353	5272.6904	3417.7248961925507
45	19377.84	277.09348	19611.162	18909.9	19675.059	0.0	19675.059	19675.059	1000.0	1000.0	179999	1671.6066	397.81384	1866.166	-126.94553	1671.6031	397.8195	1868.0969	-123.965935	5.5330114	2.9284914	39.234005	-11.038977	-1679.0618	5465.0913	3500.8609025478363
46	19622.953	222.67967	19787.357	19239.445	19839.016	0.0	19839.016	19839.016	1000.0	1000.0	183999	1677.963	398.1723	1870.7457	-120.81357	1677.9613	398.1787	1867.6171	-186.64995	5.7634983	2.9222755	49.809376	-9.935983	-1685.4742	5510.2056	3584.3014616966248
47	19436.441	276.82172	19685.963	18967.469	19877.307	0.001953125	19877.305	19877.305	1000.0	1000.0	187999	1683.8901	396.2655	1875.4032	-112.1311	1683.8877	396.2667	1872.0442	-99.57666	5.554722	2.8962116	52.62106	-10.643413	-1691.3843	5721.885	3668.1459889411926
48	19463.023	325.08713	19804.486	18928.707	16485.809	0.0	16485.809	16485.809	1000.0	1000.0	191999	1694.8142	390.0907	1884.3645	-108.36637	1694.8127	390.09476	1886.992	-139.05272	5.683885	2.9175184	39.090347	-9.367698	-1702.3876	5369.275	3752.1566183567047
49	19686.5	152.1836	19809.441	19428.97	19725.55	0.001953125	19725.553	19725.553	1000.0	1000.0	195999	1697.5438	384.9953	1880.7382	-181.93515	1697.5432	385.00327	1876.2467	-179.6422	5.3992014	2.8213677	46.73076	-12.368862	-1704.3052	5653.4375	3836.1886723041534
50	19772.756	25.225735	19808.389	19737.066	19750.074	0.0	19750.074	19750.074	1000.0	1000.0	199999	1701.1299	384.85233	1888.5188	-253.07942	1701.1266	384.86337	1887.2189	-243.88397	5.5135994	2.7725525	50.010498	-10.312543	-1708.4097	5550.467	3920.5851089954376
51	19510.52	259.49777	19786.32	19151.148	16392.281	0.0	16392.281	16392.281	1000.0	1000.0	203999	1707.3367	376.89734	1885.2164	-138.77156	1707.3348	376.90012	1885.0029	-157.61552	5.50858	2.9425282	41.48223	-10.710335	-1714.2885	5677.27	4005.1799404621124
52	19729.121	79.47727	19810.143	19600.469	18783.203	0.0	18783.203	18783.203	1000.0	1000.0	207999	1705.7188	372.96207	1879.1821	-113.66691	1705.7184	372.9625	1876.909	-188.99779	5.343497	2.821842	39.45623	-11.823888	-1712.3705	5817.1377	4089.5477640628815
53	19691.246	118.19163	19795.717	19490.826	19719.17	0.0	19719.17	19719.17	1000.0	1000.0	211999	1710.229	373.17456	1878.3102	-132.48624	1710.2291	373.17477	1876.5575	-155.01833	5.549718	2.780845	41.994114	-13.149233	-1717.2555	6081.727	4174.555375099182
54	19536.451	262.4061	19786.912	19100.63	4746.0264	0.0	4746.0264	4746.0264	1000.0	1000.0	215999	1720.1257	372.52502	1888.1857	-211.61856	1720.1267	372.5152	1883.6451	-287.15118	5.5912967	2.7547631	42.29233	-9.879243	-1727.2612	5996.0435	4260.04075551033
55	19491.25	485.8134	19781.111	18649.969	18537.9	0.001953125	18537.898	18537.898	1000.0	1000.0	219999	1723.5913	368.42374	1889.6718	-241.83272	1723.592	368.42545	1884.821	-258.68686	5.4101076	2.713787	47.46678	-9.2877035	-1730.4408	5851.719	4343.904509067535
56	19732.775	54.362377	19810.707	19672.209	19812.059	0.001953125	19812.057	19812.057	1000.0	1000.0	223999	1728.1597	356.49213	1887.2969	-168.60205	1728.1597	356.49054	1888.5659	-180.79526	5.5675	2.6932654	42.061485	-9.770473	-1734.8438	5963.733	4428.228965997696
57	19636.574	83.9837	19736.596	19519.807	19657.08	0.0	19657.08	19657.08	1000.0	1000.0	227999	1727.8784	357.62778	1884.947	-230.98132	1727.878	357.62473	1882.8674	-160.12637	5.518686	2.7751431	48.41786	-10.701605	-1734.1987	5557.555	4512.195138931274
58	19278.0	492.0913	19711.133	18441.951	19037.783	0.0	19037.783	19037.783	1000.0	1000.0	231999	1729.5593	354.89825	1898.7306	-111.9769	1729.5579	354.90045	1891.9731	-140.4127	5.351395	2.6666145	38.460167	-10.474179	-1735.9678	6484.342	4595.915230035782
59	19379.275	80.044876	19502.65	19280.656	19692.145	0.001953125	19692.146	19692.146	1000.0	1000.0	235999	1733.1194	357.7284	1901.8351	-207.505	1733.1188	357.72464	1897.9244	-161.0346	5.5410376	2.708592	54.14125	-8.952899	-1739.6945	5735.091	4680.6313829422
60	18743.42	1219.0941	19791.889	16669.014	19768.965	0.001953125	19768.963	19768.963	1000.0	1000.0	239999	1737.0449	352.3133	1903.247	-120.67233	1737.0427	352.31442	1895.9225	-146.33078	5.429742	2.7713397	49.10724	-10.552978	-1743.3722	5971.9565	4765.7949323654175
61	18115.82	499.99908	18561.361	17272.004	13511.666	0.0	13511.666	13511.666	1000.0	1000.0	243999	1734.0773	350.2388	1895.4535	-179.00482	1734.0762	350.2388	1894.4489	-166.86449	5.2387476	2.8305645	44.422546	-9.927285	-1740.3063	6450.9253	4850.594732046127
62	17923.094	915.2683	18977.508	16638.809	19739.285	0.0	19739.285	19739.285	1000.0	1000.0	247999	1731.4185	342.09644	1884.6578	-155.22818	1731.4171	342.09875	1889.0449	-160.87088	5.15954	2.792619	42.249176	-10.208494	-1737.0444	5579.5757	4935.789316415787
63	19449.777	507.41226	19762.701	18571.316	19801.14	0.0	19801.14	19801.14	1000.0	1000.0	251999	1726.631	337.89615	1880.7694	-201.43594	1726.6277	337.8966	1880.4722	-153.13466	5.13292	2.6399086	44.488964	-8.902678	-1732.4095	5626.257	5021.686405420303
64	17587.441	1515.8375	19541.896	15949.526	19711.775	0.001953125	19711.773	19711.773	1000.0	1000.0	255999	1727.6041	332.41873	1879.8395	-153.12491	1727.6066	332.40958	1888.042	-177.04987	5.283867	2.6014113	40.260372	-10.9130745	-1733.0425	6450.486	5107.207197904587
65	19065.36	638.1995	19767.574	18133.607	18379.537	0.001953125	18379.54	18379.54	1000.0	1000.0	259999	1725.9319	331.90997	1897.8033	-189.13458	1725.9344	331.88828	1885.4332	-156.05377	5.33849	2.5595791	39.046616	-9.046289	-1732.0468	6291.979	5192.243068933487
66	19520.02	238.71196	19716.938	19125.875	19717.871	0.001953125	19717.87	19717.87	1000.0	1000.0	263999	1734.4192	329.81082	1896.8427	-186.7203	1734.4203	329.8134	1895.2996	-161.42279	5.505321	2.5835807	46.24636	-9.744715	-1740.6265	5785.473	5276.986207008362
67	18694.23	328.22714	19170.115	18282.377	19801.672	0.0	19801.672	19801.672	1000.0	1000.0	267999	1747.7924	327.7961	1911.2966	-289.6072	1747.7916	327.80508	1913.9939	-218.25668	5.6102824	2.7412248	52.77727	-10.178959	-1753.6173	5930.5	5364.607127428055
68	19673.008	66.30596	19765.252	19579.97	18473.652	0.0	18473.652	18473.652	1000.0	1000.0	271999	1750.5419	328.56894	1903.5044	-215.55833	1750.5398	328.58414	1909.7504	-222.2095	5.209487	2.6286724	46.87617	-11.271938	-1756.409	5564.7695	5454.937203884125
69	19652.316	149.29489	19755.645	19395.008	19697.547	0.0	19697.547	19697.547	1000.0	1000.0	275999	1757.013	329.06076	1917.6805	-250.85504	1757.0138	329.0521	1920.7167	-237.26894	5.4168043	2.6182144	46.288284	-10.1240015	-1763.3251	5884.819	5544.860487699509
70	19605.146	228.36877	19775.86	19218.111	18795.875	0.0	18795.875	18795.875	1000.0	1000.0	279999	1753.1263	323.7368	1901.1213	-274.6036	1753.1272	323.71622	1905.1671	-251.6992	5.250537	2.6559677	41.66398	-9.674265	-1758.3284	5927.133	5636.32438492775
