Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
41	533.11786	566.6855	1402.5001	-47.19483	416.40146	608.6254	1489.9937	-108.78044	669.4	443.8	163999	752.0042	189.70868	1052.542	-362.31723	-763.93475	654.11914	1582.3761999607086
42	447.29672	613.843	1247.4711	-415.1713	442.4673	385.4987	1218.1202	-82.916664	790.8333	669.8	167999	728.7286	181.64627	1021.4017	-303.72348	-740.1301	618.90686	1626.672015428543
43	326.95886	206.51424	618.4907	7.707112	72.25715	484.42062	973.8127	-511.31705	624.1667	618.0	171999	707.73553	173.25693	966.5112	-329.2114	-718.8181	633.48376	1669.1799266338348
44	176.93869	385.04507	1134.2166	-369.98346	410.21695	607.7152	1933.9476	-110.921745	303.85715	339.1	175999	684.767	167.36292	950.29724	-326.60266	-695.30225	548.5824	1705.3283467292786
45	258.124	583.9449	2006.3381	-161.08736	940.56134	651.8498	1660.1334	-138.96585	316.25	720.6	179999	663.5793	160.03859	946.63696	-361.2989	-673.6161	546.39465	1749.904049396515
46	380.97415	610.53754	1650.5803	-99.7546	759.45544	406.89404	1329.3966	-42.329956	464.375	762.1	183999	644.214	155.09464	859.22894	-348.33902	-654.1857	479.4471	1794.7751770019531
47	589.6006	631.60333	1638.5748	-50.65983	658.43585	590.1948	1812.2928	-66.95482	572.7143	642.0	187999	628.5017	152.51715	802.1152	-337.64847	-638.18176	470.74475	1838.1996910572052
48	836.99347	651.76733	1987.2909	-41.33708	735.45667	772.827	2092.4846	-89.47212	658.1667	539.1	191999	613.9145	147.49272	788.3814	-350.55777	-623.41077	438.9855	1878.59703373909
49	1000.10675	1077.0824	3249.3792	-47.643997	1017.5467	372.25662	1354.9935	-38.30551	518.44446	900.9	195999	606.1904	145.40942	773.5324	-367.47556	-615.6343	447.31958	1927.228229522705
50	1439.4314	1320.8678	3447.0376	-38.43054	1885.9629	687.9072	2520.128	-36.95801	608.6	900.7	199999	601.31604	143.46643	781.788	-255.14539	-610.75696	437.88342	1975.416296005249
